student_id,gender,grade,overall_score,attendance_percentage,extra_classes
100000,Male,D,52,70,No
100001,Female,D,54,85,Yes
100002,Male,B,82,74,Yes
100003,Male,C,66,45,No
100004,Male,C,66,51,No
100005,Female,C,59,53,No
100006,Male,C,65,55,Yes
100007,Male,B,78,74,No
100008,Male,D,54,70,No
100009,Female,C,60,52,No
100010,Male,B,77,44,Yes
100011,Male,C,63,50,Yes
100012,Male,A,92,99,No
100013,Male,D,49,68,No
100014,Female,D,48,92,No
100015,Male,B,74,91,No
100016,Female,C,63,71,No
100017,Female,C,55,82,No
100018,Female,C,61,52,No
